tn_id,vorname,nachname,btz_start,btz_ende,massnahme,bvb,bt_id,ps_id,gdb,sitzplatz,tisch_verstellbar,geburtstag,geburtstagsliste,kuerzel
1,Cliff,Vasser,2024/08/25,2027-07-04,Social Worker,true,1,1,true,#e31,true,2005/06/04,true,Baurerich
2,Cecil,Laffan,2024/02/12,2027-07-16,General Manager,true,3,2,false,#4e2,true,2002/08/17,true,Fairlamb
3,Ali,Bernon,2024/06/08,2027-04-11,Sales Associate,false,1,1,true,#8fa,false,2000/11/06,true,Dinzey
4,Merell,Plampin,2025/06/25,2027-05-23,Automation Specialist I,false,4,2,false,#5f9,true,1993/12/13,false,Beavors
5,Katee,Gehrtz,2025/04/17,2027-07-24,Office Assistant I,true,3,3,false,#a3c,true,1997/01/29,false,Ciubutaro
6,Rena,Zaczek,2024/05/19,2027-02-13,Marketing Manager,false,1,2,false,#62b,false,2005/07/15,false,Wilhelmy
7,Eleonora,Shailer,2024/08/31,2027-06-26,Teacher,false,4,3,true,#32d,true,2003/05/22,true,Sumption
8,Leslie,Gorling,2024/06/02,2027-07-19,VP Quality Control,false,1,1,true,#ca3,true,2002/12/11,false,Bachmann
9,Rupert,Gidney,2024/12/25,2027-04-30,Accounting Assistant III,true,1,3,true,#f1a,true,2003/09/18,false,Kowal
10,Belvia,Darlaston,2024/06/01,2027-02-09,Programmer IV,false,4,1,true,#ef0,true,1992/11/08,true,Lackner
11,Jakob,Trussler,2024/07/02,2027-03-24,VP Accounting,true,4,3,true,#a9b,true,2000/03/28,true,Duns
12,Fianna,Buncombe,2024/02/22,2027-02-24,Computer Systems Analyst I,false,4,3,false,#33c,true,2001/01/04,true,Isitt
13,Maddalena,Turnor,2025/04/23,2027-05-01,Assistant Manager,true,4,2,false,#d20,true,2002/01/12,false,Bingle
14,Tomasina,Henriet,2024/12/31,2027-05-30,Editor,true,3,1,true,#e80,false,1991/03/06,true,Bairstow
15,Germayne,Lunnon,2025/06/11,2027-05-30,Business Systems Development Analyst,false,1,3,true,#bae,false,1992/08/12,true,Pleven
16,Nikki,Tevelov,2025/06/04,2027-04-03,Assistant Media Planner,false,3,3,false,#635,false,1994/08/30,true,Fominov
